No;Date;Open;High;Low;Close;Volume;;;
637;Jul 16, 2023;1.954,00;1.956,50;1.946,60;1.952,40;29,00;;;
638;Jul 17, 2023;1.968,80;1.978,40;1.963,40;1.977,20;83,00;;;
639;Jul 18, 2023;1.977,00;1.977,50;1.973,00;1.977,50;35,00;;;
640;Jul 19, 2023;1.973,70;1.973,70;1.965,60;1.968,30;638,00;;;
641;Jul 20, 2023;1.961,80;1.964,30;1.961,80;1.964,30;50,00;;;
642;Jul 23, 2023;1.965,30;1.965,50;1.960,30;1.960,30;2,00;;;
643;Jul 24, 2023;1.953,00;1.962,50;1.953,00;1.962,10;19,00;;;
644;Jul 25, 2023;1.966,20;1.972,00;1.966,20;1.968,90;51,00;;;
645;Jul 26, 2023;1.945,40;1.945,40;1.945,40;1.945,40;194.253,00;;;
646;Jul 27, 2023;1.945,50;1.962,20;1.944,20;1.960,40;23.155,00;;;
647;Jul 30, 2023;1.959,20;1.971,60;1.950,00;1.970,50;1.025,00;;;
648;Jul 31, 2023;1.964,90;1.965,40;1.940,70;1.940,70;688,00;;;
649;Aug 01, 2023;1.948,40;1.953,60;1.933,20;1.937,40;652,00;;;
650;Aug 02, 2023;1.934,20;1.936,50;1.928,00;1.932,00;773,00;;;
651;Aug 03, 2023;1.934,90;1.945,00;1.920,00;1.939,60;290,00;;;
652;Aug 06, 2023;1.941,00;1.941,00;1.929,80;1.933,50;376,00;;;
653;Aug 07, 2023;1.931,70;1.933,20;1.923,00;1.924,10;555,00;;;
654;Aug 08, 2023;1.925,40;1.928,80;1.913,70;1.915,40;451,00;;;
655;Aug 09, 2023;1.921,10;1.927,80;1.911,40;1.914,40;178,00;;;
